,Nombre,product ID,category ID
41,Microondas Integrable BALAY 3CG6142B3 (20 L - Con grill - Blanco),88,5
42,Placa de Gas KUNFT KGH2431 (Gas Butano-propano - 62.6 cm - Inox),89,4
43,Campana KUNFT 60 KCHS4852 IX (216.5 m3/h - 60 cm - Inox),90,4
44,FrigorAfico Combi BALAY Cristal 3KFC869NI (No Frost - 203 cm - 363 L - Negro),92,4
45,Cafetera DELONGHI ETAM29.510.B (15 bar - 13 Niveles de molienda),93,5
46,Lavadora Integrable TEKA LI6 1470 (7 kg - 1400 rpm - Blanco),94,4
47,Campana KUNFT KCHS3125 IX (347 m3/h - 90 cm - Inox),95,4
48,Lavavajillas Integrable TEKA DFI 44700 WH (10 Cubiertos - 44.8 cm - Panel Negro),96,4
49,Termo ElA(c)ctrico CATA CTRH 80 M (80 L - bar),97,4
50,Placa VitrocerA!mica BALAY 3EB764EN (ElA(c)ctrica - 59 cm - Negro),98,4
51,FrigorAfico Combi CANDY CCE4T618EW E (No Frost - 185 cm - 341 L - Blanco),99,4
52,"MA3vil - Samsung Galaxy S23 Ultra 5G, Botanic Green, 512GB, 12GB RAM, 6.8 QHD+, Qualcomm Snapdragon 8, Gen 2 Octa-Core, 5000mAh, Android 13",44,3
53,"PortA!til - VivoBook 15 F1500EA-EJ3587W,15.6 Full HD, IntelA(r) CoreaC/ i3-1115G4, 8GB RAM,256GB SSD, UHD, Windows 11 Home",45,2
54,"Lavadora carga frontal - Bosch WGG254Z1ES, 10 Kg, 1400 rpm, 14 programas, SpeedPerfect, Blanco",49,4
55,"TV LED 55 - 55NANO756QC, UHD 4K, Procesador de Gran Potencia 4K I+-5 Gen 5, Smart TV, DVB-T2 (H.265), Azul oscuro ceniza",50,1
56,"Freidora de aire - Moulinex Easy Fry & Grill XXL EZ801D, 6.5 L, Con Separador, Cocina 2 platos a la Vez, 1830 W, 220 AdegC, 16 funciones, TA!ctil, Inox.",51,5
57,"Depiladora IPL - Philips Lumea S7000 BRI923/00, Luz pulsada, 12 meses sin vello, 3 cabezales, cara y cuerpo, 250.000 pulsos, 5 ajustes luz",52,6
58,"Smartwatch - Samsung Watch 4 BT, 40 mm, 1.2, Exynos W920, 16 GB, 240 mAh, IP68, Gold",53,8
59,"Patinete elA(c)ctrico - Navee N65, Hasta 65 km, Doble freno, Luz delantera y trasera, Negro",54,9
60,"AirPods Pro (2023 2Aa gen), ConexiA3n USB-C, InalA!mbricos, BluetoothA(r), Estuche de carga inalA!mbrica, Chip H2, Siri, Blanco",55,11
61,"Reproductor multimedia - Chromecast con Google TV (4K), HDMI, Mando con control por voz, Nieve",56,10
62,"Consola - Sony PlayStation 5 Standard, 825 GB, 4K, 1 mando, Chasis C + Call Of Duty: Modern Warfare 3 (cA3digo de descarga)",46,7
63,"Mini Drone - MINI 3 PRO (DJI RC), 48 MP, VAdeo 4K, Hasta 35 min, Wi-fi, Bluetooth, Blanco",47,12
64,Pack de 2 Echo Show 5 (3.Aa generaciA3n) Antracita - Pantalla tA!ctil inteligente de 5.5acon Alexa,48,13
65,"MA3vil - Google Pixel 7a, CarbA3n, 128 GB, 8 GB RAM, 6.1  OLED Full HD+, Google Tensor G2, 4.385 mAh, Android",5,3
66,"Tablet - Samsung Galaxy Tab A8, 64 GB eMMC, Gris Oscuro, WiFi, 10.5 WUXGA, 4 GB RAM, Unisoc T618, Android 11",6,2
67,"FrigorAfico combi - Balay 3KFD765BI Cristal, No Frost, 203 cm, 368 l, CajA3n ExtraFresh, IluminaciA3n LED, Blanco",10,4
68,"TV Neo QLED 65 - Samsung TQ65QN90CATXXC, UHD 4K, Smart TV, Quantum Matrix, Dolby Atmos, Smart Hub, Plataforma NTF, CarbA3n Silver",11,1
69,"Cafetera superautomA!tica - Krups Roma EA81K870, 1450 W, 15 bar, 1.7 L, 3 temperaturas, 2 tazas, Sistema Thermoblock, Kit de limpieza incluido, Negro",12,5
70,"Moldeador - Cecotec Bamba CeramicCare AirGlam W, TecnologAa iA3nica, 8 en 1, 3 velocidades, 3 temperaturas, 8 accesorios, Coanda, CerA!mico, White Gold",13,6
71,"Smartwatch - Amazfit GTS 4 Mini, 1.65 FHD AMOLED, 135 - 190 mm, 5 ATM, Bluetooth 5.2, 15 dAas, Mint Blue",14,8
72,"Patinete elA(c)ctrico - Smartgyro Rockway Pro C, 1000 W, Capacidad mA!xima 75 kg, 15.000 mAh, Hasta 25 km/h, Negro",15,9
73,"Barra de sonido - Samsung HW-Q930C/ZF, Bluetooth, Dolby Atmos inalA!mbrico, 42W, 9.1.4 canales, Compatible con asistentes de voz, WiFi, Negro",16,11
74,"Repetidor WiFi - TP-Link RE450 Doble Banda , 3 antenas, MU-MIMO, Ethernet Gigabit, WPS, AC1750",17,10
75,PS5 Marvel's Spiderman 2,7,7
76,"CA!mara deportiva - GoPro Hero 11 Black, Sin funda, 5.3K, 24.7 MP, SuperFoto, HDR, HyperSmooth 5.0, Slo-Mo x8, Negro",8,12
