Product ID,N_Extracción,Datos
12,Extracción 147,"['2023/08/03 20:26:31', '429.00']"
12,Extracción 148,"['2023/08/04 03:26:31', '429.00']"
12,Extracción 149,"['2023/08/04 11:50:31', '429.00']"
12,Extracción 150,"['2023/08/05 04:38:31', '429.00']"
12,Extracción 151,"['2023/08/05 13:02:31', '429.00']"
12,Extracción 152,"['2023/08/05 21:26:31', '429.00']"
12,Extracción 153,"['2023/08/06 14:14:31', '429.00']"
12,Extracción 154,"['2023/08/06 21:14:31', '429.00']"
12,Extracción 155,"['2023/08/07 05:38:31', '429.00']"
12,Extracción 156,"['2023/08/07 22:26:31', '429.00']"
12,Extracción 157,"['2023/08/08 06:50:31', '429.00']"
12,Extracción 158,"['2023/08/08 15:14:31', '429.00']"
12,Extracción 159,"['2023/08/09 08:02:31', '429.00']"
12,Extracción 160,"['2023/08/09 08:02:31', '429.00']"
12,Extracción 161,"['2023/08/09 23:26:31', '429.00']"
12,Extracción 162,"['2023/08/10 07:50:31', '429.00']"
12,Extracción 163,"['2023/08/10 16:14:31', '429.00']"
12,Extracción 164,"['2023/08/11 09:02:31', '429.00']"
12,Extracción 165,"['2023/08/11 17:26:31', '429.00']"
12,Extracción 166,"['2023/08/12 01:50:31', '429.00']"
12,Extracción 167,"['2023/08/12 17:14:31', '429.00']"
12,Extracción 168,"['2023/08/13 01:38:31', '429.00']"
12,Extracción 169,"['2023/08/13 10:02:31', '429.00']"
12,Extracción 170,"['2023/08/14 02:50:31', '429.00']"
12,Extracción 171,"['2023/08/14 11:11:05', '319.00']"
12,Extracción 172,"['2023/08/14 19:35:05', '319.00']"
12,Extracción 173,"['2023/08/15 12:23:05', '319.00']"
12,Extracción 174,"['2023/08/15 19:23:05', '319.00']"
12,Extracción 175,"['2023/08/16 03:47:05', '319.00']"
12,Extracción 176,"['2023/08/16 20:35:05', '319.00']"
12,Extracción 177,"['2023/08/17 04:59:05', '319.00']"
12,Extracción 178,"['2023/08/17 13:23:05', '319.00']"
12,Extracción 179,"['2023/08/18 06:11:05', '319.00']"
12,Extracción 180,"['2023/08/18 06:11:05', '319.00']"
12,Extracción 181,"['2023/08/18 21:35:05', '319.00']"
12,Extracción 182,"['2023/08/19 05:59:05', '319.00']"
12,Extracción 183,"['2023/08/19 14:23:05', '319.00']"
12,Extracción 184,"['2023/08/20 07:11:05', '319.00']"
12,Extracción 185,"['2023/08/20 15:35:05', '319.00']"
12,Extracción 186,"['2023/08/20 23:59:05', '319.00']"
12,Extracción 187,"['2023/08/21 15:23:05', '319.00']"
