Product ID,N_Extracción,Datos
55,Extracción 205,"['2023/10/15 06:17:18', '279.00']"
55,Extracción 206,"['2023/10/15 09:05:18', '279.00']"
55,Extracción 207,"['2023/10/15 14:41:18', '279.00']"
55,Extracción 208,"['2023/10/15 17:29:18', '279.00']"
55,Extracción 209,"['2023/10/15 20:17:18', '279.00']"
55,Extracción 210,"['2023/10/16 01:53:18', '279.00']"
55,Extracción 211,"['2023/10/16 04:41:18', '279.00']"
55,Extracción 212,"['2023/10/16 07:29:18', '279.00']"
55,Extracción 213,"['2023/10/16 14:29:18', '279.00']"
55,Extracción 214,"['2023/10/16 16:01:44', '269.00']"
55,Extracción 215,"['2023/10/16 18:49:44', '269.00']"
55,Extracción 216,"['2023/10/17 01:49:44', '269.00']"
55,Extracción 217,"['2023/10/17 04:37:44', '269.00']"
55,Extracción 218,"['2023/10/17 07:25:44', '269.00']"
55,Extracción 219,"['2023/10/17 13:01:44', '269.00']"
55,Extracción 220,"['2023/10/17 13:01:44', '269.00']"
55,Extracción 221,"['2023/10/17 18:37:44', '269.00']"
55,Extracción 222,"['2023/10/17 21:25:44', '269.00']"
55,Extracción 223,"['2023/10/18 00:13:44', '269.00']"
55,Extracción 224,"['2023/10/18 05:49:44', '269.00']"
55,Extracción 225,"['2023/10/18 08:37:44', '269.00']"
55,Extracción 226,"['2023/10/18 11:25:44', '269.00']"
55,Extracción 227,"['2023/10/18 17:01:44', '269.00']"
55,Extracción 228,"['2023/10/18 19:49:44', '269.00']"
55,Extracción 229,"['2023/10/18 22:37:44', '269.00']"
55,Extracción 230,"['2023/10/19 04:13:44', '269.00']"
55,Extracción 231,"['2023/10/19 07:01:44', '269.00']"
55,Extracción 232,"['2023/10/19 09:49:44', '269.00']"
55,Extracción 233,"['2023/10/19 15:25:44', '269.00']"
55,Extracción 234,"['2023/10/19 19:37:44', '269.00']"
55,Extracción 235,"['2023/10/19 22:25:44', '269.00']"
55,Extracción 236,"['2023/10/20 04:01:44', '269.00']"
55,Extracción 237,"['2023/10/20 06:49:44', '269.00']"
55,Extracción 238,"['2023/10/20 08:47:27', '259.00']"
55,Extracción 239,"['2023/10/20 14:23:27', '259.00']"
55,Extracción 240,"['2023/10/20 14:23:27', '259.00']"
55,Extracción 241,"['2023/10/20 19:59:27', '259.00']"
55,Extracción 242,"['2023/10/21 00:11:27', '259.00']"
55,Extracción 243,"['2023/10/21 02:59:27', '259.00']"
55,Extracción 244,"['2023/10/21 08:35:27', '259.00']"
55,Extracción 245,"['2023/10/21 11:23:27', '259.00']"
55,Extracción 246,"['2023/10/21 14:11:27', '259.00']"
55,Extracción 247,"['2023/10/21 19:47:27', '259.00']"
55,Extracción 248,"['2023/10/21 22:35:27', '259.00']"
55,Extracción 249,"['2023/10/22 01:23:27', '259.00']"
55,Extracción 250,"['2023/10/22 06:59:27', '259.00']"
55,Extracción 251,"['2023/10/22 09:47:27', '259.00']"
55,Extracción 252,"['2023/10/22 12:35:27', '259.00']"
55,Extracción 253,"['2023/10/22 18:11:27', '259.00']"
55,Extracción 254,"['2023/10/22 20:59:27', '259.00']"
55,Extracción 255,"['2023/10/22 23:47:27', '259.00']"
55,Extracción 256,"['2023/10/23 05:23:27', '259.00']"
55,Extracción 257,"['2023/10/23 08:11:27', '259.00']"
55,Extracción 258,"['2023/10/23 10:59:27', '259.00']"
55,Extracción 259,"['2023/10/23 17:02:33', '257.00']"
55,Extracción 260,"['2023/10/23 19:50:33', '257.00']"
55,Extracción 261,"['2023/10/23 19:50:33', '257.00']"
55,Extracción 262,"['2023/10/24 01:26:33', '257.00']"
55,Extracción 263,"['2023/10/24 04:14:33', '257.00']"
